How many members?,How many casuals?,Average trip time of casual ,Average trip time of member,Amount of trips per day,Day,Most popular day,Least popular day,Average trip duration per day,Day
19039,17832,0:16:06,0:13:18,4427,Sunday,Friday,Monday,0:14:52,Sunday
,,,,3567,Monday,7108,3567,0:13:51,Monday
,,,,4065,Tuesday,,,0:12:21,Tuesday
,,,,4647,Wednesday,,,0:12:16,Wednesday
1,Sunday,,,6239,Thursday,,,0:13:02,Thursday
2,Monday,,,7108,Friday,,,0:12:53,Friday
3,Tuesday,,,6818,Saturday,,,0:21:15,Saturday
4,Wednesday,,,,,,,,
5,Thursday,,,,,,,0:21:15,
6,Friday,,,,,,,0:12:16,
7,Saturday,,,,,,,,
